2018/05,106,117.5,118.5,103.5,+12.5,+11.9,5.93,-2.21,-2.06,29.23,-2.89,5.93,-2.21,-2.06,29.23,-2.89
2018/04,123,105,125.5,100,-18.5,-14.98,6.06,-3.43,+5.96,23.3,-3.09,6.06,-3.43,+5.96,23.3,-3.09
2018/03,112,123.5,129,110,+10,+8.81,6.28,+26.2,-0.95,17.24,-5.92,6.28,+26.2,-0.95,17.24,-5.92
2018/02,120.5,113.5,121,101,-5.5,-4.62,4.97,-17,-13.8,10.97,-8.55,4.97,-17,-13.8,10.97,-8.55
2018/01,135,119,140.5,119,-16,-11.85,6.27,+1.68,+0.84,6.27,+0.84,6.27,+1.68,+0.84,6.27,+0.84
2017/12,153.5,135,154,127.5,-18,-11.76,6.17,-6.63,-1.84,77.46,-3.87,6.17,-6.63,-1.84,77.46,-3.87
2017/11,129,153,160.5,127.5,+24,+18.6,6.61,-7.88,-8.31,71.29,-4.04,6.61,-7.88,-8.31,71.29,-4.04
2017/10,126,129,136,122,+4,+3.2,7.17,-3.36,+6.64,64.68,-3.58,7.17,-3.36,+6.64,64.68,-3.58
2017/09,121.5,125,139,118.5,+3.5,+2.88,7.42,+3.98,+7.75,57.51,-4.72,7.42,+3.98,+7.75,57.51,-4.72
2017/08,125.5,121.5,134,114.5,-3.5,-2.8,7.14,+11.3,+0.46,50.09,-6.33,7.14,+11.3,+0.46,50.09,-6.33
2017/07,128,125,134,121.5,-1.5,-1.19,6.41,-0.38,-3.57,42.95,-7.37,6.41,-0.38,-3.57,42.95,-7.37
2017/06,117.5,126.5,130,114,+9.5,+8.12,6.44,+6.39,-9.15,36.54,-8.01,6.44,+6.39,-9.15,36.54,-8.01
2017/05,128.5,117,129,106.5,-11,-8.59,6.05,+5.8,-14.4,30.1,-7.76,6.05,+5.8,-14.4,30.1,-7.76
2017/04,134.5,128,134.5,113.5,-6,-4.48,5.72,-9.73,-10.6,24.05,-5.94,5.72,-9.73,-10.6,24.05,-5.94
2017/03,137,134,146,128,-4,-2.9,6.34,+9.77,-10.2,18.33,-4.37,6.34,+9.77,-10.2,18.33,-4.37
2017/02,119,138,145.5,114,+19.5,+16.46,5.77,-7.19,+1.97,11.99,-0.97,5.77,-7.19,+1.97,11.99,-0.97
2017/01,110.5,118.5,121.5,105.5,+8.5,+7.73,6.22,-1.02,-3.55,6.22,-3.55,6.22,-1.02,-3.55,6.22,-3.55
2016/12,94.6,110,110,91.7,+15,+15.79,6.28,-12.8,-5.16,80.58,+3.67,6.28,-12.8,-5.16,80.58,+3.67
2016/11,107,95,108,87,-14,-12.84,7.21,+7.14,+20.7,74.29,+4.5,7.21,+7.14,+20.7,74.29,+4.5
2016/10,118,109,130,104,-9.5,-8.02,6.73,-2.36,+5.91,67.09,+3.01,6.73,-2.36,+5.91,67.09,+3.01
2016/09,126,118.5,129,113,-8,-6.32,6.89,-3.05,+1.57,60.36,+2.7,6.89,-3.05,+1.57,60.36,+2.7
2016/08,119,126.5,130.5,106.5,+8,+6.75,7.11,+6.83,-3.38,53.48,+2.85,7.11,+6.83,-3.38,53.48,+2.85
2016/07,115,118.5,121.5,110.5,+5,+4.41,6.65,-6.15,-8.18,46.37,+3.87,6.65,-6.15,-8.18,46.37,+3.87
2016/06,96.4,113.5,116,94.5,+17.1,+17.74,7.09,+0.29,-0.97,39.72,+6.21,7.09,+0.29,-0.97,39.72,+6.21
2016/05,92.6,96.4,98.3,90.1,+3.7,+3.99,7.07,+10.4,+9.66,32.63,+7.91,7.07,+10.4,+9.66,32.63,+7.91
2016/04,92.7,92.7,96,85.5,-0.2,-0.22,6.4,-9.31,+10.6,25.57,+7.44,6.4,-9.31,+10.6,25.57,+7.44
2016/03,82.8,92.9,103,82.2,+10.9,+13.29,7.06,+24.7,+7.76,19.17,+6.43,7.06,+24.7,+7.76,19.17,+6.43
2016/02,70.9,82,84.6,70.5,+11.7,+16.64,5.66,-12.2,+10.6,12.11,+5.66,5.66,-12.2,+10.6,12.11,+5.66
2016/01,77.4,70.3,78.5,65.2,-6.4,-8.34,6.45,-2.67,+1.67,6.45,+1.67,6.45,-2.67,+1.67,6.45,+1.67
2015/12,78.5,76.7,82.4,73.5,-1.3,-1.67,6.63,+11,+9.92,77.72,-6.78,6.63,+11,+9.92,77.72,-6.78
2015/11,83,78,87.2,76.5,-4.5,-5.45,5.97,-6.01,-1.79,71.09,-8.08,5.97,-6.01,-1.79,71.09,-8.08
2015/10,85.1,82.5,90.5,82.2,-1.1,-1.32,6.35,-6.36,-11.2,65.12,-8.62,6.35,-6.36,-11.2,65.12,-8.62
2015/09,73.2,83.6,86.8,72.4,+10.8,+14.84,6.78,-7.78,-11.8,58.78,-8.33,6.78,-7.78,-11.8,58.78,-8.33
2015/08,58.5,72.8,75.5,57.5,+14.3,+24.44,7.35,+1.52,-6.21,51.99,-7.85,7.35,+1.52,-6.21,51.99,-7.85
2015/07,88.3,58.5,94.2,57.8,-28.6,-32.84,7.24,+1.2,-7.82,44.64,-8.11,7.24,+1.2,-7.82,44.64,-8.11
2015/06,90.5,87.1,93.5,77,-3.4,-3.76,7.16,+11.1,-5.73,37.4,-8.17,7.16,+11.1,-5.73,37.4,-8.17
2015/05,98,90.5,99,84.8,-7.9,-8.03,6.44,+11.3,-14.9,30.24,-8.73,6.44,+11.3,-14.9,30.24,-8.73
2015/04,106.5,98.4,113.5,97.2,-9.6,-8.89,5.79,-11.6,-16,23.8,-6.9,5.79,-11.6,-16,23.8,-6.9
2015/03,119,108,120.5,106,-13,-10.74,6.55,+28,+0.19,18.01,-3.55,6.55,+28,+0.19,18.01,-3.55
2015/02,115,121,121,111,+6,+5.22,5.12,-19.3,-11.8,11.46,-5.56,5.12,-19.3,-11.8,11.46,-5.56
2015/01,108.5,115,118.5,107,+6,+5.5,6.34,+5.21,+0.13,6.34,+0.13,6.34,+5.21,+0.13,6.34,+0.13
2014/12,115,109,128.5,105,-9.5,-8.02,6.03,-0.79,-1.35,83.38,+5.14,6.03,-0.79,-1.35,83.38,+5.14
2014/11,116,118.5,127.5,115,+3,+2.6,6.08,-15,-5.67,77.35,+5.68,6.08,-15,-5.67,77.35,+5.68
2014/10,134.5,115.5,137.5,105.5,-18,-13.48,7.15,-7.03,-5.41,71.27,+6.78,7.15,-7.03,-5.41,71.27,+6.78
2014/09,144,133.5,145,124,-10.5,-7.29,7.69,-1.88,+2.99,64.12,+8.34,7.69,-1.88,+2.99,64.12,+8.34
2014/08,157,144,160,142.5,-13,-8.28,7.84,-0.22,+6.08,56.42,+9.11,7.84,-0.22,+6.08,56.42,+9.11
2014/07,161.5,157,168,153,-4,-2.48,7.86,+3.5,+4.45,48.58,+9.62,7.86,+3.5,+4.45,48.58,+9.62
2014/06,158.5,161,166.5,151,+2.5,+1.58,7.59,+0.29,+21.8,40.72,+10.7,7.59,+0.29,+21.8,40.72,+10.7
2014/05,162,158.5,171,149,-3.5,-2.16,7.57,+9.86,+15.6,33.13,+8.41,7.57,+9.86,+15.6,33.13,+8.41
2014/04,158,162,168.5,149.5,+4.5,+2.86,6.89,+5.41,+8.52,25.56,+6.45,6.89,+5.41,+8.52,25.56,+6.45
2014/03,158.5,157.5,188,155.5,-1.5,-0.94,6.54,+12.7,+17.7,18.67,+5.71,6.54,+12.7,+17.7,18.67,+5.71
2014/02,151,159,159.5,146,+3.5,+2.25,5.8,-8.41,+15.5,12.14,+0.21,5.8,-8.41,+15.5,12.14,+0.21
2014/01,138.5,155.5,159,138,+17.5,+12.68,6.33,+3.64,-10.6,6.33,-10.6,6.33,+3.64,-10.6,6.33,-10.6
2013/12,157.5,138,158,138,-19.5,-12.38,6.11,-5.13,+0.26,79.29,+13.5,6.11,-5.13,+0.26,79.29,+13.5
2013/11,159,157.5,164.5,145,+2,+1.29,6.44,-14.8,-10.8,73.18,+14.8,6.44,-14.8,-10.8,73.18,+14.8
2013/10,145,155.5,156.5,145,+9,+6.14,7.56,+1.23,+17.6,66.74,+18.1,7.56,+1.23,+17.6,66.74,+18.1
2013/09,153,146.5,162,143,-8.5,-5.48,7.47,+1.05,+15.7,59.18,+18.1,7.47,+1.05,+15.7,59.18,+18.1
2013/08,145.5,155,159.5,142.5,+9,+6.16,7.39,-1.76,+2.38,51.71,+18.5,7.39,-1.76,+2.38,51.71,+18.5
2013/07,144,146,164,142,+2,+1.39,7.52,+20.7,+13.9,44.32,+21.7,7.52,+20.7,+13.9,44.32,+21.7
