盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2.25,0,2.25,0,0,0,2.25,2.04,0,-,-,-,-,2018,40.75,34.4,37.3,6.03,0,6.03,2017,1.94,116,0,116
2017,1.5,0.1,1.6,0,0,0,1.6,1.45,0,-,-,-,-,2017,39.1,34.1,36,4.44,0,4.44,2016,1.87,85.6,0,85.6
2016,2,0,2,0,0,0,2,1.81,0,-,-,-,-,2016,40.8,34.2,37.2,5.37,0,5.37,2015,2.31,86.6,0,86.6
2015,2.08,0.02,2.1,0,0,0,2.1,1.9,0,4.96,2.16,0.05,0,2015,47.3,35.5,42.3,4.97,0,4.97,2014,2.54,82.7,0,82.7
2014,2.25,0.05,2.3,0,0,0,2.3,2.08,0,5.36,2.32,0.05,0,2014,54.2,45.3,48.4,4.75,0,4.75,2013,2.55,90.2,0,90.2
2013,2.3,0,2.3,0,0,0,2.3,2.08,0,5.48,2.37,0.05,0,2013,51.4,43.5,47,4.9,0,4.9,2012,2.56,89.8,0,89.8
2012,2.3,0,2.3,0,0,0,2.3,2.08,0,5.48,2.34,0.05,0,2012,52,42,46.8,4.91,0,4.91,2011,2.59,88.8,0,88.8
2011,2,0,2,0,0,0,2,1.81,0,4.77,2.27,0.05,0,2011,61,41.1,52,3.84,0,3.84,2010,2.32,86.2,0,86.2
2010,1.9,0,1.9,0,0,0,1.9,1.72,0,4.53,2.59,0.05,0,2010,57.3,35,47.2,4.03,0,4.03,2009,1.94,97.9,0,97.9
2009,1.4,0,1.4,0,0,0,1.4,1.27,0,3.34,2.26,0.03,0,2009,40.5,25.3,31,4.52,0,4.52,2008,1.66,84.3,0,84.3
2008,1.4,0,1.4,0,0,0,1.4,-,-,3.34,2.52,0.03,0,2008,34,24.8,28.4,4.92,0,4.92,2007,1.49,94,0,94
2007,1.2,0,1.2,0,0.3,0.3,1.5,-,-,2.78,1.92,0.03,-,2007,34.75,28,29.7,4.04,1.01,5.05,2006,1.7,70.6,17.6,88.2
2006,1.5,0,1.5,0,0,0,1.5,-,-,3.47,2.5,0.03,-,2006,33.65,23.4,27.7,5.41,0,5.41,2005,1.64,91.5,0,91.5
2005,1.5,0,1.5,0,0,0,1.5,-,-,3.47,2.12,0.03,-,2005,26.15,21.5,23.1,6.49,0,6.49,2004,1.93,77.7,0,77.7
2004,0.9,0,0.9,0.3,0,0.3,1.2,-,-,2.7,2.15,0.03,-,2004,22.5,16.4,20.5,4.38,1.46,5.84,2003,1.52,59.2,19.7,78.9
2003,0.7,0,0.7,0.3,0,0.3,1,-,-,2.18,2.3,0.02,-,2003,19,14.8,16.4,4.28,1.83,6.11,2002,1.19,58.8,25.2,84
2002,0.7,0,0.7,0,0,0,0.7,-,-,0,0,0,-,2002,16.7,11.8,13.9,5.03,0,5.03,2001,0.81,86.4,0,86.4
2001,0.5,0,0.5,0,0.3,0.3,0.8,-,-,0,0,0,-,2001,15.6,10.4,12.2,4.1,2.46,6.56,2000,0.62,80.6,48.4,129
2000,0.29,0,0.29,0,0.71,0.71,1,-,-,0,0,0,-,2000,19.5,9.95,12.8,2.26,5.53,7.79,1999,0.34,85.3,209,294
1999,0.3,0,0.3,0.57,0.43,1,1.3,-,-,-,-,-,-,1999,23.3,10.5,15.9,1.88,6.27,8.15,1998,1,30,100,130
1998,0,0,0,1.4,0,1.4,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,1.56,0,89.7,89.7
1997,0,0,0,0.8,0.2,1,1,-,-,0,0,0,-,-,-,-,-,-,-,-,1996,1.14,0,87.8,87.8
1996,0,0,0,0.75,0.25,1,1,-,-,0,0,0,-,-,-,-,-,-,-,-,1995,0.85,0,118,118
1995,0,0,0,0.5,0,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1994,0.6,0,84,84
1994,0.5,0,0.5,0.5,0.7,1.2,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,1993,-,-,-,-
1993,1,0,1,0,10.2,10.2,11.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
平均,1.17,0.01,1.18,0.2,0.5,0.7,1.88,,,,,,,平均,36.5,27.1,31.3,4.5,0.9,5.5,平均,1.61,68.4,33.3,102
累計,30.5,0.17,30.6,5.12,13.1,18.2,48.8,,,,,,,累計,,,,,,,累計,38.7,,,
