盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,37.65,15.6,24.4,0,0,0,2017,-0.33,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,20.55,8.63,16,0,0,0,2016,-0.71,0,0,0
2016,0,0.3,0.3,0,0,0,0.3,0.76,0,-,-,-,-,2016,10.1,7.82,8.7,3.45,0,3.45,2015,-0.15,-200,0,-200
2015,0.23,0.27,0.5,0,0,0,0.5,0.6,0,0.7,1.16,0.04,0,2015,10.3,5.93,8.82,5.67,0,5.67,2014,0.25,200,0,200
2014,0.1,0.5,0.6,0,0,0,0.6,0.26,0,0.46,1.09,0.02,0,2014,11.7,9.15,10.1,5.93,0,5.93,2013,0.17,353,0,353
2013,0.37,0,0.37,0,0,0,0.37,0.97,0,1.05,0.93,0.07,0,2013,11.15,9.12,9.91,3.73,0,3.73,2012,0.45,82.2,0,82.2
2012,0.4,0.61,1.01,0,0,0,1.01,1.05,0,1.12,0.82,0.08,0,2012,11.65,9.25,10.6,9.45,0,9.45,2011,0.51,197,0,197
2011,0.73,0,0.73,0,0,0,0.73,2.1,0,1.75,0.75,0.1,0,2011,13.55,9.17,11.4,6.41,0,6.41,2010,0.77,94.8,0,94.8
2010,0.28,0,0.28,0,0,0,0.28,0.95,0,0,0,0,0,2010,14.35,10.3,12.3,2.28,0,2.28,2009,0.3,93.3,0,93.3
2009,0.65,0,0.65,0,0,0,0.65,2.18,0,0.63,0.48,0.03,0,2009,14.3,7.57,11,5.9,0,5.9,2008,0.39,167,0,167
2008,1.5,0,1.5,0,0,0,1.5,-,-,5.6,0.68,0.78,0,2008,18.6,6.27,14.3,10.5,0,10.5,2007,2.41,62.2,0,62.2
2007,1.38,0,1.38,0,0,0,1.38,-,-,5.86,0.9,0.52,-,2007,22.5,15.5,19.3,7.15,0,7.15,2006,1.91,72.4,0,72.4
2006,1.57,0,1.57,0,0,0,1.57,-,-,5.6,0.82,0.62,-,2006,25.25,14.75,17.8,8.83,0,8.83,2005,2,78.7,0,78.7
2005,1.16,0,1.16,0,0,0,1.16,-,-,-,-,-,-,2005,17.1,12.8,14.7,7.9,0,7.9,2004,2.02,57.3,0,57.3
2004,1.31,0,1.31,0,0,0,1.31,-,-,7.2,1.2,0.32,-,2004,20.9,13.6,16.7,7.84,0,7.84,2003,1.51,86.9,0,86.9
2003,1.02,0,1.02,0,0,0,1.02,-,-,7.2,1.18,0.4,-,2003,21.5,14.7,17.8,5.74,0,5.74,2002,1.45,70.3,0,70.3
2002,0,0,0,1.3,0,1.3,1.3,-,-,0,0,0,-,2002,35.5,16.3,23.8,0,5.47,5.47,2001,1.55,0,83.9,83.9
2001,0,0,0,1.3,0,1.3,1.3,-,-,-,-,-,-,2001,32.1,10.45,20.8,0,6.25,6.25,2000,1.74,0,74.7,74.7
2000,0,0,0,0,1,1,1,-,-,-,-,-,-,2000,61,10.35,30.8,0,3.24,3.24,1999,0.27,0,370,370
1999,0,0,0,1.2,0,1.2,1.2,-,-,0,0,0,-,1999,49.5,25.2,36.9,0,3.25,3.25,1998,1.35,0,88.9,88.9
1998,0,0,0,4.1,1.9,6,6,-,-,-,-,-,-,1998,190,38.7,101,0,5.94,5.94,1997,4.85,0,124,124
1997,0,0,0,3.5,1,4.5,4.5,-,-,0,0,0,-,1997,237,91.5,150,0,2.99,2.99,1996,5.43,0,82.9,82.9
1996,0,0,0,3.5,0,3.5,3.5,-,-,0,0,0,-,1996,103.5,52,66.8,0,5.24,5.24,1995,5.29,0,66.2,66.2
1995,0,0,0,2.5,0,2.5,2.5,-,-,0,0,0,-,1995,89,50,68.2,0,3.67,3.67,1994,3.41,0,73.2,73.2
1994,1.6,0,1.6,0,0,0,1.6,-,-,0,0,0,-,-,-,-,-,-,-,-,1993,2.75,58.1,0,58.1
1993,1.1,0,1.1,0,0,0,1.1,-,-,0,0,0,-,-,-,-,-,-,-,-,1992,1.87,58.9,0,58.9
平均,0.52,0.06,0.58,0.67,0.15,0.82,1.4,,,,,,,平均,44.9,19.4,30.1,3.8,1.5,5.3,平均,1.59,58.9,37.1,96
累計,13.4,1.68,15.1,17.4,3.9,21.3,36.4,,,,,,,累計,,,,,,,累計,41.5,,,
