盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.5,0,0.5,0,0,0,0.5,14.5,0,-,-,-,-,2018,23.6,15.65,18.1,2.77,0,2.77,2017,0.73,68.5,0,68.5
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,22.9,12.6,15.8,0,0,0,2016,-0.62,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,16.05,11.15,13.5,0,0,0,2015,-1.97,0,0,0
2015,0,0,0,0,0,0,0,0,0,2.07,1.35,0.02,0,2015,24.6,10.65,16.8,0,0,0,2014,0.06,0,0,0
2014,0.1,0,0.1,0,0,0,0.1,2.38,0,0,0,0,0,2014,33.5,21,26.3,0.38,0,0.38,2013,-0.38,-26.3,0,-26.3
2013,0.1,0,0.1,0,0,0,0.1,2.38,0,0,0,0,0,2013,35.2,25.7,29,0.34,0,0.34,2012,-0.77,-13,0,-13
2012,0.45,0,0.45,0.45,0,0.45,0.9,10.2,102,37.9,1.5,0.38,0,2012,37.3,23.75,29.6,1.52,1.52,3.04,2011,1.11,40.5,40.5,81.1
2011,0.6,0,0.6,1,0,1,1.6,12.4,207,51.8,1,0.52,0,2011,53.7,27.1,39.3,1.53,2.55,4.07,2010,2.51,23.9,39.8,63.7
2010,0.2,0,0.2,0.3,0,0.3,0.5,4.02,60.3,13.2,1,0.13,0,2010,38.5,24.6,31.9,0.63,0.94,1.57,2009,0.66,30.3,45.5,75.8
2009,0.2,0,0.2,0.3,0,0.3,0.5,3.9,58.5,12.8,1,0.13,0,2009,27.7,15.4,22,0.91,1.36,2.27,2008,0.66,30.3,45.5,75.8
2008,0.4,0,0.4,0.8,0,0.8,1.2,-,-,33.2,1,0.33,0,2008,41.55,13.3,28.1,1.42,2.84,4.26,2007,1.84,21.7,43.5,65.2
2007,0.24,0,0.24,0.96,0,0.96,1.2,-,-,25.8,1,0.26,-,2007,46.3,25.55,31.2,0.77,3.08,3.85,2006,1.57,15.3,61.1,76.4
2006,0.4,0,0.4,0.8,0,0.8,1.2,-,-,30.6,1,0.31,-,2006,30.4,21.6,25.1,1.59,3.19,4.78,2005,2,20,40,60
2005,0.5,0,0.5,1,0,1,1.5,-,-,38.2,1,0.38,-,2005,31.5,23.7,27.6,1.81,3.62,5.43,2004,2.75,18.2,36.4,54.5
2004,0.4,0,0.4,0.8,0,0.8,1.2,-,-,18.1,1,0.18,-,2004,33,24.3,28.5,1.4,2.8,4.2,2003,1.41,28.4,56.7,85.1
2003,0.3,0,0.3,0.7,0,0.7,1,-,-,17.7,1,0.18,-,2003,28.6,20.3,23.7,1.26,2.95,4.21,2002,1.47,20.4,47.6,68
2002,1,0,1,0,0,0,1,-,-,0,0,0,-,2002,29.1,17.6,23,4.34,0,4.34,2001,1.81,55.2,0,55.2
2001,0.8,0,0.8,0.81,0,0.81,1.61,-,-,0,0,0,-,2001,33.2,17.8,23.9,3.35,3.39,6.75,2000,2.02,39.6,40.1,79.7
2000,1.25,0,1.25,0,0,0,1.25,-,-,0,0,0,-,2000,39.8,22,30,4.16,0,4.16,1999,0.99,126,0,126
1999,1.35,0,1.35,0,0,0,1.35,-,-,-,-,-,-,1999,34.79,20.1,26.4,5.11,0,5.11,1998,1.54,87.7,0,87.7
1998,0.76,0,0.76,1.09,0,1.09,1.85,-,-,-,-,-,-,1998,44.9,30.3,38.7,1.97,2.82,4.79,1997,2.83,26.9,38.5,65.4
1997,0,0,0,1.9,0,1.9,1.9,-,-,0,0,0,-,1997,66.5,36.29,49.8,0,3.82,3.82,1996,3.57,0,53.3,53.3
1996,0.35,0,0.35,1.5,0,1.5,1.85,-,-,0,0,0,-,1996,67.5,47.5,55.9,0.63,2.68,3.31,1995,3.45,10.1,43.5,53.6
1995,0.35,0,0.35,1.5,0,1.5,1.85,-,-,0,0,0,-,1995,63.5,46,52.3,0.67,2.87,3.54,1994,2.81,12.4,53.3,65.8
1994,0.35,0,0.35,1,0,1,1.35,-,-,0,0,0,-,1994,65,41.7,48.4,0.72,2.07,2.79,1993,2.22,15.8,45.1,60.9
1993,0.35,0,0.35,1,0,1,1.35,-,-,0,0,0,-,1993,53,29.7,38.6,0.91,2.59,3.5,1992,1.54,22.8,65.1,87.9
1992,0.46,0,0.46,0,1.04,1.04,1.5,-,-,0,0,0,-,1992,47.5,28,37.3,1.23,2.79,4.03,1991,2,23,52.2,75.2
1991,0,0,0,1.8,0,1.8,1.8,-,-,0,0,0,-,1991,71,39.7,50.9,0,3.53,3.53,1990,2.9,0,62,62
1990,0,0,0,2,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1989,-,-,-,-
1989,0,0,0,1.8,0,1.8,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,1988,-,-,-,-
1988,0,0,0,1.8,0,1.8,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,1987,-,-,-,-
1987,0,0,0,1.6,0,1.6,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1986,-,-,-,-
1986,0,0,0,1.4,0,1.4,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,1985,-,-,-,-
1985,0.6,0,0.6,1.2,0.4,1.6,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1984,-,-,-,-
1984,0.72,0,0.72,0.72,0.76,1.48,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1983,-,-,-,-
平均,0.36,0,0.36,0.81,0.06,0.87,1.23,,,,,,,平均,40.7,24.8,31.5,1.4,1.8,3.2,平均,1.45,24.9,32.5,57.4
累計,12.7,0,12.7,28.2,2.2,30.4,43.2,,,,,,,累計,,,,,,,累計,40.7,,,
