盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.24,0,0.24,0,0,0,0.24,0.48,0,-,-,-,-,2018,40.9,19.55,26.4,0.91,0,0.91,2017,0.28,85.7,0,85.7
2017,0.26,0,0.26,0,0,0,0.26,0.52,0,-,-,-,-,2017,24.3,18.75,20.5,1.27,0,1.27,2016,0.37,70.3,0,70.3
2016,0.5,0,0.5,0,0,0,0.5,1,0,-,-,-,-,2016,26.8,18.25,21.8,2.29,0,2.29,2015,0.9,55.6,0,55.6
2015,0.8,0,0.8,0,0,0,0.8,1.6,0,1.7,0.67,0.09,0,2015,28,16.35,22.6,3.53,0,3.53,2014,1.32,60.6,0,60.6
2014,1.5,0,1.5,0,0,0,1.5,3,0,3.19,0.73,0.16,0,2014,35.6,24.75,30.5,4.92,0,4.92,2013,2.25,66.7,0,66.7
2013,2.1,0,2.1,0,0,0,2.1,4.2,0,4.47,0.75,0.22,0,2013,40.6,30.9,35.4,5.94,0,5.94,2012,3.06,68.6,0,68.6
2012,2,0,2,0,0,0,2,4,0,4.26,0.77,0.21,0,2012,32,26.6,29.4,6.81,0,6.81,2011,2.87,69.7,0,69.7
2011,1.5,0,1.5,0,0,0,1.5,3,0,3.19,0.91,0.16,0,2011,32.65,24.25,27.9,5.38,0,5.38,2010,2.09,71.8,0,71.8
2010,1,0,1,0,0,0,1,1.61,0,1.71,0.77,0.09,0,2010,29.25,20.65,23.3,4.29,0,4.29,2009,1.45,69,0,69
2009,0.9,0,0.9,0,0,0,0.9,1.45,0,1.54,0.67,0.08,0,2009,28.05,12.55,19.7,4.57,0,4.57,2008,1.48,60.8,0,60.8
2008,1.2,0,1.2,0,0,0,1.2,-,-,2.01,0.77,0.06,0,2008,33.7,10.55,18.4,6.53,0,6.53,2007,1.7,70.6,0,70.6
2007,1.1,0,1.1,0,0,0,1.1,-,-,1.84,0.8,0.06,-,2007,23.45,14.9,17.9,6.13,0,6.13,2006,1.5,73.3,0,73.3
2006,0.7,0,0.7,0,0,0,0.7,-,-,1.17,0.75,0.04,-,2006,16.4,12.5,13.8,5.09,0,5.09,2005,1.02,68.6,0,68.6
2005,0.3,0,0.3,0,0.25,0.25,0.55,-,-,0,0,0.01,-,2005,17.3,12.2,14.5,2.07,1.72,3.79,2004,0.77,39,32.5,71.4
2004,0.2,0,0.2,0,0.2,0.2,0.4,-,-,-,-,-,-,2004,24.5,13.5,17,1.18,1.18,2.36,2003,0.51,39.2,39.2,78.4
2003,0.35,0,0.35,0.2,0,0.2,0.55,-,-,0,0,0.03,-,2003,21.3,12.1,14.6,2.4,1.37,3.76,2002,0.73,47.9,27.4,75.3
2002,0.8,0,0.8,0.2,0,0.2,1,-,-,0,0,0,-,2002,18.5,12.2,15.5,5.18,1.29,6.47,2001,1.27,63,15.7,78.7
2001,0.8,0,0.8,0.4,0,0.4,1.2,-,-,0,0,0,-,2001,25,13.2,17.2,4.66,2.33,6.99,2000,1.19,67.2,33.6,101
2000,0.9,0,0.9,0.3,0,0.3,1.2,-,-,0,0,0,-,2000,37.2,16,24.5,3.67,1.22,4.89,1999,1.16,77.6,25.9,103
1999,0.9,0,0.9,0.3,0,0.3,1.2,-,-,0,0,0,-,1999,38.9,17.5,26.8,3.36,1.12,4.48,1998,1.2,75,25,100
1998,0.9,0,0.9,0,0,0,0.9,-,-,0,0,0,-,1998,88,19.6,47.4,1.9,0,1.9,1997,0.81,111,0,111
1997,0.6,0,0.6,0,0,0,0.6,-,-,0,0,0,-,1997,34.29,19.39,24.9,2.41,0,2.41,1996,0.43,140,0,140
1996,0.6,0,0.6,0,0,0,0.6,-,-,0,0,0,-,1996,29,18.5,22.6,2.65,0,2.65,1995,0.47,128,0,128
1995,0.3,0,0.3,0.3,0,0.3,0.6,-,-,0,0,0,-,1995,38.79,16.8,25.2,1.19,1.19,2.38,1994,0.41,72.6,72.6,145
1994,0.5,0,0.5,0.5,0,0.5,1,-,-,-,-,-,-,1994,40.9,27.5,32.4,1.54,1.54,3.08,1993,0.51,98.4,98.4,197
1993,0.25,0,0.25,1,0,1,1.25,-,-,0,0,0,-,1993,72.5,30.1,45.8,0.55,2.19,2.73,1992,2.39,10.5,41.8,52.3
1992,0.55,0,0.55,1.2,0.5,1.7,2.25,-,-,0,0,0,-,1992,110.5,49.5,72.1,0.76,2.36,3.12,1991,3.56,15.5,47.8,63.2
1991,0.5,0,0.5,1.25,0,1.25,1.75,-,-,0,0,0,-,-,-,-,-,-,-,-,1990,6.72,7.4,18.6,26
1990,0.6,0,0.6,2.56,0,2.56,3.16,-,-,-,-,-,-,-,-,-,-,-,-,-,1989,-,-,-,-
平均,0.79,0,0.79,0.28,0.03,0.32,1.1,,,,,,,平均,36.6,19.6,26.2,3.4,0.6,4,平均,1.51,67.2,17.1,84.3
累計,22.8,0,22.8,8.21,0.95,9.16,32,,,,,,,累計,,,,,,,累計,42.4,,,
