盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.86,0,0.86,0,0,0,0.86,17.2,0,-,-,-,-,2018,29.15,20.8,24.5,3.51,0,3.51,2017,1.56,55.1,0,55.1
2017,0.88,0,0.88,0,0,0,0.88,17.6,0,-,-,-,-,2017,31.85,27.1,28.7,3.07,0,3.07,2016,1.76,50,0,50
2016,0.8,0,0.8,0,0,0,0.8,16,0,-,-,-,-,2016,29,23.5,26.7,2.99,0,2.99,2015,1.6,50,0,50
2015,1.1,0,1.1,0,0,0,1.1,22,0,146,3.6,3.29,0,2015,33,21.7,27.4,4.01,0,4.01,2014,2.06,53.4,0,53.4
2014,1.1,0,1.1,0,0,0,1.1,22,0,135,3.6,3.05,0,2014,41.4,28.2,33.8,3.25,0,3.25,2013,2.01,54.7,0,54.7
2013,1,0,1,0,0,0,1,18.7,0,107,3.6,2.4,0,2013,35.2,22.15,29,3.45,0,3.45,2012,1.63,61.3,0,61.3
2012,0.9,0,0.9,0,0,0,0.9,16.5,0,100,3.6,2.25,0,2012,22.5,17.75,20.1,4.48,0,4.48,2011,1.54,58.4,0,58.4
2011,0.8,0,0.8,0,0,0,0.8,14.7,0,89.9,3.61,2.02,0,2011,22.8,15.3,18.9,4.24,0,4.24,2010,1.38,58,0,58
2010,0.55,0,0.55,0,0,0,0.55,10,0,70.5,3.6,1.59,0,2010,20.15,11.8,15.4,3.57,0,3.57,2009,1.09,50.5,0,50.5
2009,0.5,0,0.5,0,0,0,0.5,9.12,0,66.2,3.61,1.49,0,2009,15.8,9.01,13,3.86,0,3.86,2008,1,50,0,50
2008,1,0,1,0,0,0,1,-,-,97.5,3.6,2.19,0,2008,22,6.98,14.6,6.85,0,6.85,2007,1.46,68.5,0,68.5
2007,0.7,0,0.7,0,0,0,0.7,-,-,93.6,4.05,1.87,-,2007,20.3,14.4,17.4,4.02,0,4.02,2006,1.26,55.4,0,55.4
2006,0.6,0,0.6,0,0,0,0.6,-,-,82.3,4.5,1.65,-,2006,17.35,9.4,11.6,5.19,0,5.19,2005,0.97,61.9,0,61.9
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,10.6,8.15,9.3,0,0,0,2004,-0.21,0,0,0
2004,0.5,0,0.5,0,0,0,0.5,-,-,19.4,4.5,0.39,-,2004,16.5,9,11.4,4.38,0,4.38,2003,0.23,217,0,217
2003,0.5,0,0.5,0,0,0,0.5,-,-,24.4,4.5,0.49,-,2003,14.7,9,11.3,4.42,0,4.42,2002,0.29,172,0,172
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,16.8,8.1,12,0,0,0,2001,0.05,0,0,0
2001,0.1,0,0.1,0.64,0.26,0.9,1,-,-,0,0,0,-,2001,22.7,8.85,14.3,0.7,6.32,7.02,2000,0.73,13.8,124,138
2000,0.8,0,0.8,0.72,0.68,1.4,2.2,-,-,-,-,-,-,2000,52.5,16.3,32.5,2.46,4.31,6.77,1999,1.69,47.3,82.8,130
1999,1,0,1,0.53,0.47,1,2,-,-,0,0,0,-,1999,35.2,20,26.9,3.72,3.72,7.44,1998,1.35,74.1,74.1,148
1998,0,0,0,2.2,0.2,2.4,2.4,-,-,0,0,0,-,1998,46.7,26.6,35,0,6.86,6.86,1997,2.41,0,99.6,99.6
1997,0,0,0,2,0.2,2.2,2.2,-,-,0,0,0,-,1997,72,40,54.6,0,4.03,4.03,1996,2.55,0,86.3,86.3
1996,1.2,0,1.2,1,0.2,1.2,2.4,-,-,0,0,0,-,1996,62,45.1,51.7,2.32,2.32,4.65,1995,2.89,41.5,41.5,83
1995,1.2,0,1.2,1.2,0.4,1.6,2.8,-,-,0,0,0,-,1995,76.5,42.1,58.5,2.05,2.73,4.78,1994,3.57,33.6,44.8,78.4
1994,1.3,0,1.3,0.4,0.7,1.1,2.4,-,-,0,0,0,-,1994,99.5,60,74.9,1.74,1.47,3.21,1993,3.2,40.6,34.3,74.9
1993,1.1,0,1.1,0.6,0.6,1.2,2.3,-,-,0,0,0,-,1993,80,46.5,55.2,1.99,2.18,4.17,1992,3.08,35.7,38.9,74.6
1992,1.2,0,1.2,0.4,0.6,1,2.2,-,-,0,0,0,-,1992,77,47,62,1.93,1.61,3.55,1991,3.38,35.5,29.6,65
1991,0.8,0,0.8,0.5,0.7,1.2,2,-,-,0,0,0,-,1991,81,40.5,66,1.21,1.82,3.03,1990,3.08,26,39,64.9
1990,1.2,0,1.2,0.4,0.6,1,2.2,-,-,0,-,0,-,-,-,-,-,-,-,-,1989,-,-,-,-
1989,1,0,1,1.4,0,1.4,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,1988,-,-,-,-
1988,1.2,0,1.2,1.8,0,1.8,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1987,-,-,-,-
1987,1,0,1,1.6,0,1.6,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1986,-,-,-,-
1986,2,0,2,0,0.2,0.2,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1985,-,-,-,-
1985,1.2,0,1.2,1,0.2,1.2,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,1984,-,-,-,-
1984,0.85,0,0.85,0.85,0.3,1.15,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1983,-,-,-,-
平均,0.83,0,0.83,0.49,0.18,0.67,1.5,,,,,,,平均,39.4,23.4,30.6,2.8,1.3,4.2,平均,1.7,52.3,24.8,77.1
累計,28.9,0,28.9,17.2,6.31,23.6,52.5,,,,,,,累計,,,,,,,累計,47.6,,,
