盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,34,23.45,28.7,0,0,0,2017,0.21,0,0,0
2017,0.6,0,0.6,0,0,0,0.6,0.86,0,-,-,-,-,2017,35.6,20.3,25.8,2.33,0,2.33,2016,1.2,50,0,50
2016,0.2,0,0.2,0,0.8,0.8,1,0.21,8.43,-,-,-,-,2016,22.1,15.55,18.2,1.1,4.39,5.49,2015,1.67,12,47.9,59.9
2015,0.5,0.6,1.1,0,0,0,1.1,1.16,0,5.47,3.62,0.11,0,2015,26,12.6,19.1,5.75,0,5.75,2014,1.48,74.3,0,74.3
2014,1.4,0,1.4,0.5,0,0.5,1.9,1.4,5,7.84,4.07,0.16,0,2014,37.6,21.3,29.1,4.8,1.71,6.51,2013,2.21,63.2,22.6,85.8
2013,2.5,0,2.5,0,0,0,2.5,2.18,0,9.69,3.3,0.19,0,2013,32.2,23,27.9,8.96,0,8.96,2012,3.37,74.2,0,74.2
2012,2.5,0,2.5,0,0.5,0.5,3,2.07,4.15,12.5,4.21,0.25,0,2012,35.45,23.6,31.3,7.99,1.6,9.58,2011,3.57,70,14,84
2011,2,0,2,0,0.3,0.3,2.3,1.61,0,7.48,2.92,0.15,0,2011,39.8,20.85,28.8,6.96,1.04,8,2010,3.18,62.9,9.4,72.3
2010,3,0,3,0,0,0,3,2.42,0,13.5,3.6,0.27,0,2010,61.9,29,43.4,6.91,0,6.91,2009,4.87,61.6,0,61.6
2009,1.08,0,1.08,0.18,0.18,0.36,1.44,0.84,1.4,5.4,3.6,0.11,0,2009,61.4,10.55,34.3,3.16,1.05,4.21,2008,2.14,50.6,16.9,67.5
2008,1.2,0,1.2,0,0.4,0.4,1.6,-,-,4.37,3.6,0.08,0,2008,19.4,9.56,14.8,8.11,2.7,10.8,2007,1.85,64.9,21.6,86.5
2007,0.95,0,0.95,0,0.28,0.28,1.23,-,-,3.48,3.6,0.07,-,2007,28.9,16.1,22.1,4.28,1.28,5.56,2006,1.56,60.7,18.2,78.9
2006,1,0,1,0.4,0,0.4,1.4,-,-,3.69,3.6,0.07,-,2006,20.3,12.75,15.3,6.56,2.62,9.18,2005,1.72,58.1,23.3,81.4
2005,0.9,0,0.9,0,0,0,0.9,-,-,2.03,3.22,0.04,-,2005,16.25,9.85,12.2,7.36,0,7.36,2004,1.05,85.7,0,85.7
2004,1,0,1,0.5,0,0.5,1.5,-,-,4.11,3.6,0.05,-,2004,20.9,10.75,15,6.68,3.34,10,2003,2.01,49.8,24.9,74.6
2003,0.3,0,0.3,0.2,0,0.2,0.5,-,-,1.29,4.5,0.02,-,2003,24.5,14.3,18.8,1.59,1.06,2.65,2002,0.51,58.8,39.2,98
2002,0.4,0,0.4,0,0,0,0.4,-,-,0,0,0,-,2002,37,17.1,23.4,1.71,0,1.71,2001,0.5,80,0,80
2001,0.3,0,0.3,0.5,0,0.5,0.8,-,-,0,0,0,-,2001,26,8.7,16.3,1.85,3.08,4.92,2000,0.95,31.6,52.6,84.2
2000,0,0,0,1,0,1,1,-,-,0,0,0,-,2000,25.3,8.1,16.8,0,5.97,5.97,1999,1.01,0,99,99
1999,0,0,0,1,1,2,2,-,-,0,0,0,-,1999,29.5,10.05,19.6,0,10.2,10.2,1998,1.1,0,182,182
1998,0,0,0,1,1,2,2,-,-,0,0,0,-,1998,38.29,19.5,28.1,0,7.11,7.11,1997,1.49,0,134,134
1997,0,0,0,1.2,0,1.2,1.2,-,-,0,-,0,-,1997,54.5,23.2,35.5,0,3.38,3.38,1996,-,-,-,-
1996,0.4,0,0.4,0.6,0,0.6,1,-,-,0,-,0,-,1996,33.4,14.05,19,2.11,3.16,5.26,1995,-,-,-,-
1995,0,0,0,1,0,1,1,-,-,0,-,0,-,1995,17,15.2,16.1,0,6.22,6.22,1994,-,-,-,-
1994,0.4,0,0.4,0,0,0,0.4,-,-,0,-,0,-,-,-,-,-,-,-,-,1993,-,-,-,-
1993,0.4,0,0.4,0,0,0,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
1992,0,0,0,2,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1991,-,-,-,-
1991,0.5,0,0.5,0,0,0,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1990,-,-,-,-
1990,0,0,0,3.85,0,3.85,3.85,-,-,-,-,-,-,-,-,-,-,-,-,-,1989,-,-,-,-
平均,0.74,0.02,0.76,0.48,0.15,0.63,1.4,,,,,,,平均,32.4,16.2,23.3,3.7,2.5,6.2,平均,1.79,48,33.6,81.6
累計,21.5,0.6,22.1,13.9,4.46,18.4,40.5,,,,,,,累計,,,,,,,累計,37.7,,,
