盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2,0,2,0,0,0,2,6.18,0,-,-,-,-,2018,41.55,38.4,39.9,5.02,0,5.02,2017,2.22,90.1,0,90.1
2017,2,0,2,0,0,0,2,6.18,0,-,-,-,-,2017,40.95,37.35,39.4,5.08,0,5.08,2016,2.28,87.7,0,87.7
2016,1.4,0,1.4,0,0,0,1.4,4.33,0,-,-,-,-,2016,40,35.1,36.7,3.82,0,3.82,2015,1.59,88.1,0,88.1
2015,0.9,0.3,1.2,0,0,0,1.2,3.71,0,8.2,2.49,0.19,0,2015,39.55,33.5,36.7,3.27,0,3.27,2014,1.06,113,0,113
2014,1.2,0,1.2,0,0,0,1.2,3.71,0,10.1,2.7,0.24,0,2014,36.4,26.75,31.6,3.8,0,3.8,2013,1.21,99.2,0,99.2
2013,1.3,0,1.3,0,0,0,1.3,4.02,0,11.2,2.7,0.26,0,2013,30.45,25.8,28.2,4.61,0,4.61,2012,1.34,97,0,97
2012,3,0,3,0,0,0,3,9.27,0,12.6,2.7,0.29,0,2012,37,28.6,31.8,9.42,0,9.42,2011,1.51,199,0,199
2011,4,0,4,0,0,0,4,12.4,0,55.8,2.7,1.3,0,2011,41.35,29.7,35.6,11.2,0,11.2,2010,6.69,59.8,0,59.8
2010,1.6,0,1.6,0,0,0,1.6,4.94,0,13.9,3.13,0.33,0,2010,40.65,32,35.6,4.49,0,4.49,2009,1.44,111,0,111
2009,1,0,1,0,0,0,1,3.09,0,8.64,2.24,0.2,0,2009,43.15,19.4,27.7,3.61,0,3.61,2008,1.25,80,0,80
2008,1.6,0,1.6,0,0,0,1.6,-,-,28.9,4.5,0.29,0,2008,34.45,16.7,24.8,6.44,0,6.44,2007,2.08,76.9,0,76.9
2007,1.8,0,1.8,0,0,0,1.8,-,-,31.7,4.6,0.32,-,2007,42.5,23.5,29.4,6.13,0,6.13,2006,2.23,80.7,0,80.7
2006,1.1,0,1.1,0,0,0,1.1,-,-,19.6,4.35,0.2,-,2006,26.85,22,24,4.57,0,4.57,2005,1.46,75.3,0,75.3
2005,1.3,0,1.3,0,0,0,1.3,-,-,22.8,4.5,0.23,-,2005,27.8,21.7,24.6,5.28,0,5.28,2004,1.64,79.3,0,79.3
2004,0.75,0,0.75,0.65,0.1,0.75,1.5,-,-,22.4,4.55,0.12,-,2004,27,19.7,23.2,3.24,3.24,6.48,2003,1.72,43.6,43.6,87.2
2003,1.6,0,1.6,0,0,0,1.6,-,-,25.5,4.92,0.26,-,2003,30.6,24.5,26.4,6.07,0,6.07,2002,1.81,88.4,0,88.4
2002,0.75,0,0.75,0,0.75,0.75,1.5,-,-,0,0,0,-,2002,34.5,17.3,25.9,2.9,2.9,5.8,2001,0.94,79.8,79.8,160
2001,0.35,0,0.35,0.2,0.8,1,1.35,-,-,0,0,0,-,2001,26.9,11,17.1,2.05,5.86,7.91,2000,0.67,52.2,149,202
2000,0,0,0,0.3,1,1.3,1.3,-,-,0,0,0,-,2000,63,11.8,33.2,0,3.92,3.92,1999,0.55,0,236,236
1999,0,0,0,0.35,1,1.35,1.35,-,-,0,0,0,-,1999,30,20.1,23.4,0,5.77,5.77,1998,0.58,0,233,233
1998,0,0,0,0.5,1,1.5,1.5,-,-,0,0,0,-,1998,47.5,29.6,36.6,0,4.1,4.1,1997,0.77,0,195,195
1997,0,0,0,0.6,1,1.6,1.6,-,-,0,0,0,-,1997,66,30.8,41.2,0,3.89,3.89,1996,0.71,0,225,225
1996,0,0,0,0.8,0.2,1,1,-,-,0,0,0,-,1996,45,18.39,26.3,0,3.81,3.81,1995,0.95,0,105,105
1995,0.6,0,0.6,0,1,1,1.6,-,-,0,0,0,-,1995,21.2,19.2,20.3,2.96,4.93,7.88,1994,0.92,65.5,109,175
1994,0.5,0,0.5,0,0,0,0.5,-,-,0,0,0,-,-,-,-,-,-,-,-,1993,0.75,66.6,0,66.6
1993,0,0,0,0.5,1,1.5,1.5,-,-,0,-,0,-,-,-,-,-,-,-,-,1992,-,-,-,-
平均,1.11,0.01,1.12,0.15,0.3,0.45,1.57,,,,,,,平均,38.1,24.7,30,3.9,1.6,5.5,平均,1.53,69.3,55,124
累計,28.8,0.3,29,3.9,7.85,11.8,40.8,,,,,,,累計,,,,,,,累計,38.4,,,
