盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,5.7,0,5.7,0,0,0,5.7,363,0,-,-,-,-,2018,114,95.5,106,5.36,0,5.36,2017,7.76,73.5,0,73.5
2017,4.6,0,4.6,0,0,0,4.6,293,0,-,-,-,-,2017,98.8,86.5,92,5,0,5,2016,6.19,74.3,0,74.3
2016,3.6,0,3.6,0,0,0,3.6,229,0,-,-,-,-,2016,92.5,70.1,80.2,4.49,0,4.49,2015,4.85,74.2,0,74.2
2015,1.7,0,1.7,0,0,0,1.7,108,0,0,0,0.27,0,2015,81.7,59.5,73.9,2.3,0,2.3,2014,2.83,60.1,0,60.1
2014,1.9,0,1.9,0,0,0,1.9,121,0,0,0,0.3,0,2014,80.6,65,74.9,2.54,0,2.54,2013,3.25,58.5,0,58.5
2013,1.2,0,1.2,0.4,0,0.4,1.6,73.5,245,0,0,0.13,0,2013,82.1,67.3,75.1,1.6,0.53,2.13,2012,2.4,50,16.7,66.7
2012,4,0,4,0,0,0,4,245,0,0,0,0.73,0,2012,93.9,67.4,81.4,4.92,0,4.92,2011,5.84,68.5,0,68.5
2011,6.8,0,6.8,0,0,0,6.8,416,0,0,0,1.12,0,2011,117,76,96,7.08,0,7.08,2010,7.44,91.4,0,91.4
2010,4,0,4,0,0,0,4,245,0,0,0,0.79,0,2010,97.9,61.8,74.5,5.37,0,5.37,2009,4.5,88.9,0,88.9
2009,1.8,0,1.8,0.7,0,0.7,2.5,103,400,33.1,0.17,0.76,0,2009,67.9,43.15,58.7,3.07,1.19,4.26,2008,3.45,52.2,20.3,72.5
