盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,7,0,7,0,0,0,7,410,0,-,-,-,-,2018,127,101,113,6.21,0,6.21,2017,9.33,75,0,75
2017,5.6,0,5.6,0,0,0,5.6,328,0,-,-,-,-,2017,105.5,88.1,93.8,5.97,0,5.97,2016,7.5,74.7,0,74.7
2016,3.5,0,3.5,0,0,0,3.5,205,0,-,-,-,-,2016,100,66.7,83.5,4.19,0,4.19,2015,4.72,74.2,0,74.2
2015,1.2,0,1.2,0,0,0,1.2,70.3,0,0,0,0.24,0,2015,80.4,59,71.8,1.67,0,1.67,2014,1.8,66.7,0,66.7
2014,2.5,0,2.5,0,0,0,2.5,147,0,0,0,0.51,0,2014,84,61.8,72.4,3.45,0,3.45,2013,4.25,58.8,0,58.8
2013,0.65,0,0.65,0.3,0,0.3,0.95,37,171,0,0,0.1,0,2013,86.1,66.2,76.5,0.85,0.39,1.24,2012,1.25,52,24,76
2012,4,0,4,0,0,0,4,228,0,0,0,0.98,0,2012,93.7,58.7,78.5,5.09,0,5.09,2011,5.81,68.8,0,68.8
2011,7.5,0,7.5,0,0,0,7.5,427,0,0,0,1.82,0,2011,119,73.8,95.6,7.84,0,7.84,2010,8.33,90,0,90
2010,4.5,0,4.5,0,0,0,4.5,256,0,0,0,0.6,0,2010,99.2,66.3,77.2,5.83,0,5.83,2009,5.19,86.7,0,86.7
2009,0.9,0,0.9,0.3,0,0.3,1.2,49.7,166,0,0,0,0,2009,70.6,33.3,53.1,1.69,0.56,2.26,2008,1.1,81.8,27.3,109
2008,7,0,7,0,0,0,7,-,-,37.4,0.08,1.87,0,2008,88,39.5,63.4,11,0,11,2007,8.63,81.1,0,81.1
2007,4.8,0,4.8,0,0,0,4.8,-,-,37.4,0.12,1.42,-,2007,92.5,53.5,73,6.57,0,6.57,2006,5.88,81.6,0,81.6
2006,5.2,0,5.2,0.3,0,0.3,5.5,-,-,37.4,0.09,1.96,-,2006,55.1,43.55,50.3,10.3,0.6,10.9,2005,7.43,70,4,74
2005,4.5,0,4.5,1,0,1,5.5,-,-,37.4,0.09,2.26,-,2005,67.4,48.75,56.7,7.94,1.76,9.7,2004,8.46,53.2,11.8,65
2004,2.4,0,2.4,0.8,0,0.8,3.2,-,-,96.9,0.55,0.97,-,2004,62.5,43,53.8,4.46,1.49,5.95,2003,3.92,61.2,20.4,81.6
2003,1.6,0,1.6,0.8,0,0.8,2.4,-,-,43.3,0.4,0.43,-,2003,58,30.7,42.9,3.73,1.87,5.6,2002,2.62,61.1,30.5,91.6
2002,0.6,0,0.6,0.6,0,0.6,1.2,-,-,0,0,0,-,2002,40.5,23.5,32.5,1.85,1.85,3.69,2001,1.17,51.3,51.3,103
2001,0.8,0,0.8,0.3,0.5,0.8,1.6,-,-,0,0,0,-,2001,32.4,17.5,24.6,3.25,3.25,6.51,2000,3.54,22.6,22.6,45.2
