盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,4,0,4,0,0,0,4,18,0,-,-,-,-,2018,92.7,85.7,89.5,4.47,0,4.47,2017,5,80,0,80
2017,3,0.5,3.5,0,0,0,3.5,15.8,0,-,-,-,-,2017,95,86.6,89.5,3.91,0,3.91,2016,1.4,250,0,250
2016,4,0,4,0,0,0,4,18,0,-,-,-,-,2016,97,86.2,91.5,4.37,0,4.37,2015,4.68,85.5,0,85.5
2015,4,0,4,0,0,0,4,18,0,91.5,4.5,0.18,0,2015,101,77.3,90.7,4.41,0,4.41,2014,4.74,84.4,0,84.4
2014,3.5,0,3.5,0.15,0,0.15,3.65,15.6,6.67,121,6.22,0.24,0,2014,88.5,74.3,79.4,4.41,0.19,4.6,2013,4.57,76.6,3.3,79.9
2013,3.2,0.2,3.4,0,0,0,3.4,15.1,0,81.9,4.36,0.16,0,2013,77.2,64,69.9,4.86,0,4.86,2012,4.33,78.5,0,78.5
2012,3.3,0,3.3,0,0,0,3.3,14.7,0,74.7,4.29,0.15,0,2012,67.7,53.5,61.6,5.35,0,5.35,2011,4.01,82.3,0,82.3
2011,3.1,0,3.1,0,0,0,3.1,13.8,0,67.9,3.99,0.14,0,2011,58.9,50.1,54.6,5.68,0,5.68,2010,3.92,79.1,0,79.1
2010,3,0,3,0,0,0,3,13.3,0,58.2,3.99,0.12,0,2010,59.5,48.4,52.2,5.75,0,5.75,2009,3.36,89.3,0,89.3
2009,3,0,3,0,0,0,3,13.3,0,56.9,4.34,0.11,0,2009,54.5,40.6,48.6,6.17,0,6.17,2008,3.03,99,0,99
2008,3.5,0,3.5,0,0,0,3.5,-,-,121,6.59,0.12,0,2008,70,34.5,53.6,6.53,0,6.53,2007,4.26,82.2,0,82.2
2007,3,0,3,0,0,0,3,-,-,109,6.39,0.11,-,2007,70,46.25,54,5.55,0,5.55,2006,3.94,76.1,0,76.1
2006,2.5,0,2.5,0,0.1,0.1,2.6,-,-,81,5.83,0.08,-,2006,67.1,47,54.3,4.61,0.18,4.79,2005,3.26,76.7,3.1,79.8
2005,2.2,0,2.2,0.2,0,0.2,2.4,-,-,68.1,5.51,0.07,-,2005,51.7,36.8,46.3,4.75,0.43,5.18,2004,2.97,74.1,6.7,80.8
2004,2,0,2,0,0,0,2,-,-,58.4,5.18,0.06,-,2004,40,29.9,34.5,5.79,0,5.79,2003,2.71,73.8,0,73.8
2003,1.6,0,1.6,0,0.4,0.4,2,-,-,40.3,4.43,0.04,-,2003,33.7,23.7,28.2,5.67,1.42,7.08,2002,2.23,71.7,17.9,89.7
2002,1.5,0,1.5,0.5,0,0.5,2,-,-,0,0,0,-,2002,36.3,22.2,29,5.17,1.72,6.9,2001,4.3,34.9,11.6,46.5
2001,1,0,1,0.5,0.5,1,2,-,-,0,0,0,-,2001,41.5,25.3,32.1,3.11,3.11,6.23,2000,2.26,44.2,44.2,88.5
2000,0.5,0,0.5,1.7,0,1.7,2.2,-,-,0,0,0,-,2000,97,26.7,56.7,0.88,3,3.88,1999,3.23,15.5,52.6,68.1
1999,0.8,0,0.8,1.2,0,1.2,2,-,-,0,0,0,-,1999,102,54.5,70.9,1.13,1.69,2.82,1998,2.63,30.4,45.6,76
1998,0,0,0,2,1,3,3,-,-,0,0,0,-,1998,119,59.5,92.5,0,3.24,3.24,1997,4.1,0,73.2,73.2
1997,0,0,0,3,0,3,3,-,-,0,0,0,-,1997,135,91.5,107,0,2.8,2.8,1996,3.65,0,82.2,82.2
1996,0,0,0,2,1,3,3,-,-,0,0,0,-,1996,113,63.5,80.1,0,3.74,3.74,1995,3.37,0,89,89
1995,0,0,0,3,0,3,3,-,-,0,0,0,-,1995,109,61.5,83.9,0,3.58,3.58,1994,4.11,0,73,73
1994,0.5,0,0.5,2.5,0,2.5,3,-,-,0,0,0,-,1994,156,99,115,0.43,2.17,2.61,1993,3.75,13.3,66.6,79.9
1993,0,0,0,2.7,0,2.7,2.7,-,-,0,0,0,-,1993,127,52,92.3,0,2.93,2.93,1992,4.03,0,67,67
1992,0,0,0,3.5,0,3.5,3.5,-,-,0,0,0,-,-,-,-,-,-,-,-,1991,5.17,0,67.7,67.7
1991,0,0,0,5.05,0,5.05,5.05,-,-,0,-,0,-,-,-,-,-,-,-,-,1990,-,-,-,-
1990,0,0,0,5.15,0,5.15,5.15,-,-,-,-,-,-,-,-,-,-,-,-,-,1989,-,-,-,-
1989,0,0,0,8,0,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1988,-,-,-,-
平均,1.77,0.02,1.8,1.37,0.1,1.47,3.27,,,,,,,平均,83.1,55.4,67.6,3.6,1.2,4.7,平均,3.67,59.2,26.1,85.2
累計,53.2,0.7,53.9,41.2,3,44.2,98,,,,,,,累計,,,,,,,累計,99,,,
