18Q1,37,32,16.25,15.25,-1,-6.2,-0.26,-0.16,0.36,5.15,-7.91,0,-2.41,5.51,7.39,4.98,4.26,-0.04
2017,40.3,47,16,16.25,+0.25,+1.6,1.98,1.89,4.45,-3.82,0.77,-0.03,1.37,0.63,6.01,7.39,11.7,0.47
2016,46.1,49,16.55,16,-0.55,-3.3,4.15,3.27,2.47,5.48,-8.74,0,-0.79,7.95,6.8,6.01,8.31,0.71
2015,49.4,64,33,16.55,-16.45,-49.8,10.2,7.9,-10.8,-5.41,6.47,0,-9.75,-16.2,16.5,6.8,-36.9,1.6
2014,49.8,89,28.05,33,+4.95,+17.6,35.1,32.7,31.5,-15.5,-11.7,0,4.28,16,12.3,16.5,326,6.57
2013,49.8,79,20.85,28.05,+7.2,+34.5,21,19.3,28.9,-6.3,-14.4,0,8.17,22.6,4.1,12.3,157,3.87
2012,49.7,77,18.05,20.85,+2.8,+15.5,14.3,13.5,-6.5,0.28,-0.6,0,-6.81,-6.22,10.9,4.1,-31.7,2.71
2011,50.2,83,33,18.05,-14.95,-45.3,13.2,12.2,56.7,-5.14,-43.8,0,7.75,51.6,3.16,10.9,401,2.43
2010,50.4,70,29.35,33,+3.65,+12.4,18,17.3,-7,-0.21,8.85,0,1.63,-7.22,1.53,3.16,-13.5,3.43
2009,50.4,68,11.85,29.35,+17.5,+147.7,11.9,11.2,-10.3,-0.28,10.1,0,-0.4,-10.5,1.92,1.53,-25,2.22
2008,51.8,70,16.65,11.85,-4.8,-28.8,9.45,9.16,-2.62,-0.22,-3.2,0,-6.03,-2.83,7.95,1.92,-11.6,1.77
2007,52.2,55,23.4,16.65,-6.75,-28.8,2.71,2.5,8.78,0.13,-5.18,0,3.73,8.91,4.22,7.95,48.8,0.48
2006,51.9,49,12.55,23.4,+10.85,+86.5,2.27,2.13,-1.5,-0.19,-1.37,0,-3.05,-1.69,7.28,4.22,-17,0.41
2005,46.2,38,15.2,12.55,-2.65,-17.4,-2.01,-1.94,0.29,1.01,-2.95,-0.12,-1.77,1.29,9.05,7.28,4.42,-0.42
2004,,-,9.65,15.2,+5.55,+57.5,,,,,,,,,,,-,
2003,,-,8.25,9.65,+1.4,+17,,,,,,,,,,,-,
2002,,-,7.85,8.25,+0.4,+5.1,,,,,,,,,,,-,
2001,,-,6.15,7.85,+1.7,+27.6,,,,,,,,,,,-,
2000,,-,13.85,6.15,-7.7,-55.6,,,,,,,,,,,-,
1999,,-,26.7,13.95,-12.75,-47.8,,,,,,,,,,,-,
1998,,-,41,26.7,-14.3,-34.9,,,,,,,,,,,-,
1997,,-,40.7,41,+0.3,+0.7,,,,,,,,,,,-,
1996,,-,32.79,40.7,+7.91,+24.1,,,,,,,,,,,-,
1995,,-,57.5,32.79,-24.71,-43,,,,,,,,,,,-,
1994,,-,65.5,57.5,-8,-12.2,,,,,,,,,,,-,
1993,,-,57,65.5,+8.5,+14.9,,,,,,,,,,,-,
1992,,-,62,57,-5,-8.1,,,,,,,,,,,-,
