18Q1,29.4,64,63.7,62,-1.7,-2.7,3.31,2.21,1.32,-4.05,2.73,0.12,0.12,-2.73,46.6,46.7,6.39,0.89
2017,24.8,53,61.1,63.7,+2.6,+4.3,15,9.93,11.1,-20.3,23,1.27,15,-9.22,31.6,46.6,13.5,4.01
2016,24.8,57,67.9,61.1,-6.8,-10,18.2,12.1,16,-28,-7.38,-2.27,-21.7,-12,53.3,31.6,30.8,4.86
2015,24.8,57,55.3,67.9,+12.6,+22.8,17.4,11.1,27.1,-16.1,-1.72,-0.6,8.69,11,44.6,53.3,39.4,4.49
2014,24.8,57,45.5,55.3,+9.8,+21.5,15.8,9.49,17.1,-21.2,21.2,2.32,19.4,-4.16,25.2,44.6,27.6,3.82
2013,24.8,55,28.9,45.5,+16.6,+57.4,13.3,8.54,16,-8.41,2.56,0.37,10.5,7.57,14.7,25.2,31.2,3.44
2012,24.8,45,23,28.9,+5.9,+25.7,7.28,4.46,13.4,-5.88,-5.1,-0.15,2.29,7.53,12.4,14.7,39.6,1.8
2011,24.9,47,39.1,23,-16.1,-41.2,6.1,3.48,4.74,-15.7,14.4,0.9,4.31,-11,8.11,12.4,9.59,1.4
2010,24.4,49,29.7,39.1,+9.4,+31.6,8.5,5.18,8.45,-7.57,-0.77,0.27,0.39,0.88,7.72,8.11,28.4,2.12
2009,24.4,47,4.91,29.7,+24.79,+504.9,5.85,3.75,16,-3.27,-12.5,0.05,0.28,12.7,7.44,7.72,60.8,1.54
2008,23.9,40,9.04,4.91,-4.13,-45.7,0.98,0.12,2.66,-1.71,0.93,0.17,2.05,0.95,5.39,7.44,7.45,0.05
2007,25.1,40,7.27,9.04,+1.77,+24.3,2.57,0.2,-3.67,2.61,-5.5,0.55,-6.01,-1.06,11.4,5.39,-11.5,0.08
2006,24.4,38,5,7.27,+2.27,+45.4,-0.47,-1.41,4.88,-6.56,2.21,0.3,0.83,-1.68,10.6,11.4,17.6,-0.58
2005,23.7,38,6.9,5,-1.9,-27.5,0.33,-0.4,3.92,-2.01,2.67,-3.13,1.46,1.91,9.11,10.6,15.2,-0.17
2004,,-,6.75,6.9,+0.15,+2.2,,,,,,,,,,,-,
2003,,-,5.5,6.75,+1.25,+22.7,,,,,,,,,,,-,
2002,,-,5.6,5.5,-0.1,-1.8,,,,,,,,,,,-,
2001,,-,4.9,5.6,+0.7,+14.3,,,,,,,,,,,-,
2000,,-,6,4.9,-1.1,-18.3,,,,,,,,,,,-,
1999,,-,10.15,6.1,-4.05,-39.9,,,,,,,,,,,-,
1998,,-,21.9,10.15,-11.75,-53.7,,,,,,,,,,,-,
1997,,-,23.7,21.9,-1.8,-7.6,,,,,,,,,,,-,
1996,,-,18.3,23.7,+5.4,+29.5,,,,,,,,,,,-,
1995,,-,30.2,18.3,-11.9,-39.4,,,,,,,,,,,-,
1994,,-,24.3,30.2,+5.9,+24.3,,,,,,,,,,,-,
1993,,-,17.5,24.3,+6.8,+38.9,,,,,,,,,,,-,
1992,,-,52.5,17.5,-35,-66.7,,,,,,,,,,,-,
1991,,-,43.7,52.5,+8.8,+20.1,,,,,,,,,,,-,
